entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
nasa-0001,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",441.31,665.82,20.319,,,NASA materials surrogate
nasa-0002,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1816.31,967.01,60.019,,,NASA materials surrogate
nasa-0003,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",838.44,246.07,73.921,,,NASA materials surrogate
nasa-0004,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1002.03,336.27,60.778,,,NASA materials surrogate
nasa-0005,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1137.54,492.28,38.04,,,NASA materials surrogate
nasa-0006,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",535.77,525.95,54.1,,,NASA materials surrogate
nasa-0007,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",625.17,391.77,54.295,,,NASA materials surrogate
nasa-0008,material,Al2O3,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",793.49,100.54,19.212,,,NASA materials surrogate
nasa-0009,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",304.34,1339.33,140.091,,,NASA materials surrogate
nasa-0010,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",569.36,260.98,107.721,,,NASA materials surrogate
nasa-0011,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1516.03,1019.34,82.026,,,NASA materials surrogate
nasa-0012,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",734.51,1410.09,6.389,,,NASA materials surrogate
nasa-0013,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",644.21,1437.24,131.034,,,NASA materials surrogate
nasa-0014,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2144.41,154.37,27.136,,,NASA materials surrogate
nasa-0015,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",730.37,836.69,133.753,,,NASA materials surrogate
nasa-0016,material,Al2O3,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1762.56,1189.26,79.124,,,NASA materials surrogate
nasa-0017,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",939.35,1168.41,130.637,,,NASA materials surrogate
nasa-0018,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",316.19,1248.52,64.212,,,NASA materials surrogate
nasa-0019,material,Al2O3,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",824.74,909.6,138.505,,,NASA materials surrogate
nasa-0020,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",381.5,910.06,45.161,,,NASA materials surrogate
nasa-0021,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2189.13,674.72,142.36,,,NASA materials surrogate
nasa-0022,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2067.91,527.32,11.379,,,NASA materials surrogate
nasa-0023,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1882.24,1489.24,148.151,,,NASA materials surrogate
nasa-0024,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",402.99,1323.8,26.967,,,NASA materials surrogate
nasa-0025,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",829.23,1007.7,131.394,,,NASA materials surrogate
