entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
mp-fallback-0001,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1039.08,731.81,74.959,,,Materials Project fallback (no API key)
mp-fallback-0002,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1419.25,858.04,2.953,,,Materials Project fallback (no API key)
mp-fallback-0003,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1445.52,344.46,59.398,,,Materials Project fallback (no API key)
mp-fallback-0004,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,904.33,499.19,18.313,,,Materials Project fallback (no API key)
mp-fallback-0005,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1110.56,676.44,25.468,,,Materials Project fallback (no API key)
mp-fallback-0006,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,865.2,251.77,62.847,,,Materials Project fallback (no API key)
mp-fallback-0007,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1015.2,332.53,62.164,,,Materials Project fallback (no API key)
mp-fallback-0008,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1304.94,532.8,72.978,,,Materials Project fallback (no API key)
mp-fallback-0009,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,511.15,767.25,7.649,,,Materials Project fallback (no API key)
mp-fallback-0010,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1684.91,591.51,20.565,,,Materials Project fallback (no API key)
mp-fallback-0011,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,983.79,825.52,14.89,,,Materials Project fallback (no API key)
mp-fallback-0012,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1320.4,527.91,41.853,,,Materials Project fallback (no API key)
mp-fallback-0013,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1079.24,638.79,7.735,,,Materials Project fallback (no API key)
mp-fallback-0014,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,945.79,186.62,10.107,,,Materials Project fallback (no API key)
mp-fallback-0015,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1543.18,634.22,74.176,,,Materials Project fallback (no API key)
mp-fallback-0016,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1474.65,864.37,37.546,,,Materials Project fallback (no API key)
mp-fallback-0017,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,650.9,306.78,26.575,,,Materials Project fallback (no API key)
mp-fallback-0018,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1730.08,396.83,32.874,,,Materials Project fallback (no API key)
mp-fallback-0019,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,743.79,604.89,57.861,,,Materials Project fallback (no API key)
mp-fallback-0020,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,764.42,716.55,20.59,,,Materials Project fallback (no API key)
mp-fallback-0021,material,SiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1234.09,256.03,65.055,,,Materials Project fallback (no API key)
mp-fallback-0022,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,487.03,577.73,34.535,,,Materials Project fallback (no API key)
mp-fallback-0023,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1731.26,517.49,11.698,,,Materials Project fallback (no API key)
mp-fallback-0024,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1244.99,436.31,19.814,,,Materials Project fallback (no API key)
mp-fallback-0025,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,1103.54,969.58,1.748,,,Materials Project fallback (no API key)
mp-fallback-0026,material,SiC,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1606.76,720.36,47.069,,,Materials Project fallback (no API key)
mp-fallback-0027,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1129.63,594.71,65.491,,,Materials Project fallback (no API key)
mp-fallback-0028,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1439.65,231.71,41.28,,,Materials Project fallback (no API key)
mp-fallback-0029,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1332.19,123.54,62.258,,,Materials Project fallback (no API key)
mp-fallback-0030,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: ceramic.,1164.62,476.31,40.388,,,Materials Project fallback (no API key)
mp-fallback-0031,material,ZnO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,754.81,287.7,60.423,,,Materials Project fallback (no API key)
mp-fallback-0032,material,MgO,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,692.08,223.61,38.458,,,Materials Project fallback (no API key)
mp-fallback-0033,material,Al2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,1108.44,886.83,30.013,,,Materials Project fallback (no API key)
mp-fallback-0034,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: oxide.,966.5,380.59,28.726,,,Materials Project fallback (no API key)
mp-fallback-0035,material,BN,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1725.91,232.34,19.413,,,Materials Project fallback (no API key)
mp-fallback-0036,material,TiO2,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: alloy-like surrogate.,1163.09,439.03,55.384,,,Materials Project fallback (no API key)
mp-fallback-0037,material,Fe2O3,Synthetic stand-in for a Materials Project record because live API access is unavailable. Class: semiconductor.,585.41,663.55,25.895,,,Materials Project fallback (no API key)
