entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
openfoam-0001,simulation,OpenFOAM external flow 0001,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",854.04,884.21,57.087,,,OpenFOAM surrogate
openfoam-0002,simulation,OpenFOAM turbulence 0002,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",909.47,402.7,184.104,,,OpenFOAM surrogate
openfoam-0003,simulation,OpenFOAM heat transfer 0003,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1301.64,602.94,173.953,,,OpenFOAM surrogate
openfoam-0004,simulation,OpenFOAM external flow 0004,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",135.35,498.17,35.7,,,OpenFOAM surrogate
openfoam-0005,simulation,OpenFOAM boundary layer 0005,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1433.26,132.98,12.912,,,OpenFOAM surrogate
openfoam-0006,simulation,OpenFOAM thermal shock 0006,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1545.21,551.81,67.82,,,OpenFOAM surrogate
openfoam-0007,simulation,OpenFOAM turbulence 0007,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",412.44,484.02,127.459,,,OpenFOAM surrogate
openfoam-0008,simulation,OpenFOAM thermal shock 0008,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",250.15,732.62,69.996,,,OpenFOAM surrogate
openfoam-0009,simulation,OpenFOAM thermal shock 0009,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1479.55,293.86,127.224,,,OpenFOAM surrogate
openfoam-0010,simulation,OpenFOAM turbulence 0010,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1379.68,54.05,187.071,,,OpenFOAM surrogate
openfoam-0011,simulation,OpenFOAM thermal shock 0011,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",368.17,654.53,101.367,,,OpenFOAM surrogate
openfoam-0012,simulation,OpenFOAM turbulence 0012,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",438.67,330.67,97.249,,,OpenFOAM surrogate
openfoam-0013,simulation,OpenFOAM turbulence 0013,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",641.19,849.75,139.331,,,OpenFOAM surrogate
openfoam-0014,simulation,OpenFOAM boundary layer 0014,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",402.96,414.09,141.808,,,OpenFOAM surrogate
openfoam-0015,simulation,OpenFOAM heat transfer 0015,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",258.58,616.89,123.347,,,OpenFOAM surrogate
openfoam-0016,simulation,OpenFOAM external flow 0016,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",988.63,621.91,46.7,,,OpenFOAM surrogate
openfoam-0017,simulation,OpenFOAM thermal shock 0017,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1379.87,336.02,62.464,,,OpenFOAM surrogate
openfoam-0018,simulation,OpenFOAM heat transfer 0018,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",994.23,381.44,2.647,,,OpenFOAM surrogate
openfoam-0019,simulation,OpenFOAM turbulence 0019,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",508.94,304.96,186.481,,,OpenFOAM surrogate
openfoam-0020,simulation,OpenFOAM heat transfer 0020,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",772.34,433.05,3.792,,,OpenFOAM surrogate
openfoam-0021,simulation,OpenFOAM external flow 0021,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",103.69,611.93,67.275,,,OpenFOAM surrogate
openfoam-0022,simulation,OpenFOAM turbulence 0022,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1444.64,88.68,87.803,,,OpenFOAM surrogate
openfoam-0023,simulation,OpenFOAM external flow 0023,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1202.19,473.96,139.991,,,OpenFOAM surrogate
openfoam-0024,simulation,OpenFOAM heat transfer 0024,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",404.49,79.4,101.373,,,OpenFOAM surrogate
openfoam-0025,simulation,OpenFOAM turbulence 0025,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",105.74,878.31,20.176,,,OpenFOAM surrogate
openfoam-0026,simulation,OpenFOAM heat transfer 0026,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",571.93,363.01,194.784,,,OpenFOAM surrogate
openfoam-0027,simulation,OpenFOAM turbulence 0027,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",863.82,773.76,102.51,,,OpenFOAM surrogate
openfoam-0028,simulation,OpenFOAM turbulence 0028,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",743.09,572.02,44.167,,,OpenFOAM surrogate
openfoam-0029,simulation,OpenFOAM heat transfer 0029,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",857.95,806.85,9.761,,,OpenFOAM surrogate
openfoam-0030,simulation,OpenFOAM heat transfer 0030,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",410.86,894.33,145.598,,,OpenFOAM surrogate
openfoam-0031,simulation,OpenFOAM boundary layer 0031,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",1363.94,705.38,174.834,,,OpenFOAM surrogate
openfoam-0032,simulation,OpenFOAM boundary layer 0032,"OpenFOAM CFD template surrogate with standardized mesh, solver, and boundary-condition metadata. Useful for pre-run engineering setup retrieval.",235.64,770.82,175.352,,,OpenFOAM surrogate
