entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
nasa-0021,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2189.13,674.72,142.36,,,NASA materials surrogate
nasa-0033,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2188.98,1270.29,64.362,,,NASA materials surrogate
aflow-0024,material,ZrO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2176.49,425.89,63.084,,,AFLOW surrogate
aflow-0153,material,SiC,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2168.69,415.64,119.183,,,AFLOW surrogate
aflow-0243,material,ZrO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2167.27,661.63,82.479,,,AFLOW surrogate
aflow-0061,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2165.62,1088.21,114.247,,,AFLOW surrogate
aflow-0078,material,TiN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2162.02,1165.01,22.883,,,AFLOW surrogate
aflow-0086,material,SiC,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2157.74,1160.22,102.849,,,AFLOW surrogate
nasa-0047,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2155.78,802.03,90.645,,,NASA materials surrogate
aflow-0229,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2152.76,556.38,14.926,,,AFLOW surrogate
nasa-0014,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2144.41,154.37,27.136,,,NASA materials surrogate
aflow-0157,material,Al2O3,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2134.95,995.41,31.509,,,AFLOW surrogate
nasa-0087,material,Ti-6Al-4V,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2127.16,160.18,109.342,,,NASA materials surrogate
aflow-0142,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2117.94,485.98,5.843,,,AFLOW surrogate
aflow-0053,material,HfO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2111.07,1043.73,37.996,,,AFLOW surrogate
nasa-0079,material,Al2O3,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2105.71,953.11,24.933,,,NASA materials surrogate
aflow-0055,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2098.09,948.52,83.279,,,AFLOW surrogate
nasa-0105,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2095.61,628.66,51.097,,,NASA materials surrogate
aflow-0106,material,HfO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2095.21,1171.91,2.984,,,AFLOW surrogate
nasa-0038,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2094.51,330.78,98.844,,,NASA materials surrogate
aflow-0076,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2094.43,641.72,109.952,,,AFLOW surrogate
aflow-0040,material,SiC,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2076.87,630.13,31.605,,,AFLOW surrogate
aflow-0081,material,TiN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2072.75,242.37,6.847,,,AFLOW surrogate
nasa-0022,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2067.91,527.32,11.379,,,NASA materials surrogate
nasa-0149,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2067.77,1090.2,87.385,,,NASA materials surrogate
nasa-0067,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2063.65,1515.6,18.683,,,NASA materials surrogate
nasa-0065,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2061.61,1506.95,120.165,,,NASA materials surrogate
aflow-0133,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2060.79,845.55,17.78,,,AFLOW surrogate
aflow-0022,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2056.6,1138.29,89.383,,,AFLOW surrogate
aflow-0005,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2039.51,1064.51,112.055,,,AFLOW surrogate
nasa-0147,material,Inconel 718,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2025.15,525.1,138.891,,,NASA materials surrogate
nasa-0052,material,C/C composite,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",2021.55,1569.19,28.107,,,NASA materials surrogate
aflow-0105,material,ZrO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2019.52,621.74,105.957,,,AFLOW surrogate
aflow-0037,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2011.0,202.21,111.792,,,AFLOW surrogate
aflow-0124,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2002.55,385.21,38.313,,,AFLOW surrogate
aflow-0110,material,TiN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2000.66,316.41,97.859,,,AFLOW surrogate
aflow-0059,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1996.4,344.46,37.818,,,AFLOW surrogate
aflow-0060,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1995.56,741.09,9.743,,,AFLOW surrogate
aflow-0169,material,Al2O3,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1988.67,470.49,14.79,,,AFLOW surrogate
aflow-0196,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1970.55,509.94,6.583,,,AFLOW surrogate
aflow-0079,material,HfO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1968.3,461.19,56.54,,,AFLOW surrogate
nasa-0066,material,Al2O3,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1968.24,138.94,128.721,,,NASA materials surrogate
nasa-0037,material,SiC,"NASA extreme-condition material metadata surrogate with thermal, vacuum, and radiation resistance context. Useful for spacecraft and high-temperature screening.",1965.41,1085.71,31.312,,,NASA materials surrogate
