entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
sim-0001,simulation,OpenFOAM CFD thermal shock case 0001,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1141.21 C with modeled conductivity 46.621 and structural response 855.75.,1141.21,855.75,46.621,,,OpenFOAM CFD thermal shock case
sim-0002,simulation,OpenFOAM CFD thermal shock case 0002,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 318.93 C with modeled conductivity 161.268 and structural response 522.58.,318.93,522.58,161.268,,,OpenFOAM CFD thermal shock case
sim-0003,simulation,NIST thermodynamic reference case 0003,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 221.83 C with modeled conductivity 84.21 and structural response 1038.11.,221.83,1038.11,84.21,,,NIST thermodynamic reference case
sim-0004,simulation,NASA extreme materials panel 0004,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 313.21 C with modeled conductivity 141.425 and structural response 575.2.,313.21,575.2,141.425,,,NASA extreme materials panel
sim-0005,simulation,OpenFOAM CFD thermal shock case 0005,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 213.57 C with modeled conductivity 72.956 and structural response 591.74.,213.57,591.74,72.956,,,OpenFOAM CFD thermal shock case
sim-0006,simulation,NIST thermodynamic reference case 0006,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1438.35 C with modeled conductivity 159.334 and structural response 46.86.,1438.35,46.86,159.334,,,NIST thermodynamic reference case
sim-0007,simulation,NASA extreme materials panel 0007,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1054.28 C with modeled conductivity 1.183 and structural response 209.21.,1054.28,209.21,1.183,,,NASA extreme materials panel
sim-0008,simulation,NASA extreme materials panel 0008,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 1078.29 C with modeled conductivity 100.492 and structural response 1012.13.,1078.29,1012.13,100.492,,,NASA extreme materials panel
sim-0009,simulation,FEA structural heat-load surrogate 0009,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 1438.05 C with modeled conductivity 61.688 and structural response 811.01.,1438.05,811.01,61.688,,,FEA structural heat-load surrogate
sim-0010,simulation,NASA extreme materials panel 0010,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1347.75 C with modeled conductivity 162.283 and structural response 687.92.,1347.75,687.92,162.283,,,NASA extreme materials panel
sim-0011,simulation,NASA extreme materials panel 0011,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 961.36 C with modeled conductivity 108.016 and structural response 704.7.,961.36,704.7,108.016,,,NASA extreme materials panel
sim-0012,simulation,NIST thermodynamic reference case 0012,NIST thermodynamic reference case; vacuum and radiation facing material screen. Thermal service window up to 339.35 C with modeled conductivity 118.725 and structural response 624.81.,339.35,624.81,118.725,,,NIST thermodynamic reference case
sim-0013,simulation,OpenFOAM CFD thermal shock case 0013,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 720.04 C with modeled conductivity 54.357 and structural response 1090.84.,720.04,1090.84,54.357,,,OpenFOAM CFD thermal shock case
sim-0014,simulation,OpenFOAM CFD thermal shock case 0014,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 857.51 C with modeled conductivity 171.893 and structural response 846.0.,857.51,846.0,171.893,,,OpenFOAM CFD thermal shock case
sim-0015,simulation,FEA structural heat-load surrogate 0015,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 1035.84 C with modeled conductivity 154.495 and structural response 94.86.,1035.84,94.86,154.495,,,FEA structural heat-load surrogate
sim-0016,simulation,NASA extreme materials panel 0016,NASA extreme materials panel; high-temperature flow around coated surface. Thermal service window up to 1447.58 C with modeled conductivity 83.361 and structural response 935.77.,1447.58,935.77,83.361,,,NASA extreme materials panel
sim-0017,simulation,OpenFOAM CFD thermal shock case 0017,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 709.09 C with modeled conductivity 160.256 and structural response 1139.27.,709.09,1139.27,160.256,,,OpenFOAM CFD thermal shock case
sim-0018,simulation,OpenFOAM CFD thermal shock case 0018,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 963.34 C with modeled conductivity 111.796 and structural response 337.48.,963.34,337.48,111.796,,,OpenFOAM CFD thermal shock case
sim-0019,simulation,OpenFOAM CFD thermal shock case 0019,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1192.71 C with modeled conductivity 18.805 and structural response 693.39.,1192.71,693.39,18.805,,,OpenFOAM CFD thermal shock case
sim-0020,simulation,OpenFOAM CFD thermal shock case 0020,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 234.73 C with modeled conductivity 144.522 and structural response 216.94.,234.73,216.94,144.522,,,OpenFOAM CFD thermal shock case
sim-0021,simulation,FEA structural heat-load surrogate 0021,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 457.91 C with modeled conductivity 105.347 and structural response 281.62.,457.91,281.62,105.347,,,FEA structural heat-load surrogate
sim-0022,simulation,OpenFOAM CFD thermal shock case 0022,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1037.58 C with modeled conductivity 70.382 and structural response 361.46.,1037.58,361.46,70.382,,,OpenFOAM CFD thermal shock case
sim-0023,simulation,FEA structural heat-load surrogate 0023,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 1380.68 C with modeled conductivity 23.391 and structural response 550.59.,1380.68,550.59,23.391,,,FEA structural heat-load surrogate
sim-0024,simulation,OpenFOAM CFD thermal shock case 0024,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 1014.78 C with modeled conductivity 92.934 and structural response 1041.36.,1014.78,1041.36,92.934,,,OpenFOAM CFD thermal shock case
sim-0025,simulation,FEA structural heat-load surrogate 0025,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 754.63 C with modeled conductivity 169.241 and structural response 637.24.,754.63,637.24,169.241,,,FEA structural heat-load surrogate
sim-0026,simulation,NASA extreme materials panel 0026,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 960.29 C with modeled conductivity 91.864 and structural response 984.35.,960.29,984.35,91.864,,,NASA extreme materials panel
sim-0027,simulation,OpenFOAM CFD thermal shock case 0027,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 675.55 C with modeled conductivity 124.114 and structural response 727.31.,675.55,727.31,124.114,,,OpenFOAM CFD thermal shock case
sim-0028,simulation,NIST thermodynamic reference case 0028,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 678.89 C with modeled conductivity 12.817 and structural response 499.54.,678.89,499.54,12.817,,,NIST thermodynamic reference case
sim-0029,simulation,FEA structural heat-load surrogate 0029,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 189.18 C with modeled conductivity 58.212 and structural response 505.68.,189.18,505.68,58.212,,,FEA structural heat-load surrogate
sim-0030,simulation,OpenFOAM CFD thermal shock case 0030,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1110.21 C with modeled conductivity 32.825 and structural response 539.05.,1110.21,539.05,32.825,,,OpenFOAM CFD thermal shock case
sim-0031,simulation,FEA structural heat-load surrogate 0031,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 1037.68 C with modeled conductivity 90.962 and structural response 281.6.,1037.68,281.6,90.962,,,FEA structural heat-load surrogate
sim-0032,simulation,NASA extreme materials panel 0032,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 319.18 C with modeled conductivity 100.775 and structural response 1008.21.,319.18,1008.21,100.775,,,NASA extreme materials panel
sim-0033,simulation,NASA extreme materials panel 0033,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 615.6 C with modeled conductivity 22.239 and structural response 953.33.,615.6,953.33,22.239,,,NASA extreme materials panel
sim-0034,simulation,NASA extreme materials panel 0034,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 932.54 C with modeled conductivity 30.057 and structural response 351.03.,932.54,351.03,30.057,,,NASA extreme materials panel
sim-0035,simulation,FEA structural heat-load surrogate 0035,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 968.14 C with modeled conductivity 36.383 and structural response 939.61.,968.14,939.61,36.383,,,FEA structural heat-load surrogate
sim-0036,simulation,OpenFOAM CFD thermal shock case 0036,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1168.52 C with modeled conductivity 119.496 and structural response 402.67.,1168.52,402.67,119.496,,,OpenFOAM CFD thermal shock case
sim-0037,simulation,OpenFOAM CFD thermal shock case 0037,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 847.78 C with modeled conductivity 123.157 and structural response 728.94.,847.78,728.94,123.157,,,OpenFOAM CFD thermal shock case
sim-0038,simulation,NASA extreme materials panel 0038,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1295.32 C with modeled conductivity 97.589 and structural response 803.77.,1295.32,803.77,97.589,,,NASA extreme materials panel
sim-0039,simulation,OpenFOAM CFD thermal shock case 0039,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 1031.92 C with modeled conductivity 30.432 and structural response 600.26.,1031.92,600.26,30.432,,,OpenFOAM CFD thermal shock case
