entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
aflow-0001,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",956.05,1004.21,36.12,,,AFLOW surrogate
aflow-0002,material,TiN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1161.71,799.66,73.8,,,AFLOW surrogate
aflow-0003,material,Al2O3,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",720.57,832.5,56.35,,,AFLOW surrogate
aflow-0004,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1617.2,946.45,35.239,,,AFLOW surrogate
aflow-0005,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",2039.51,1064.51,112.055,,,AFLOW surrogate
aflow-0006,material,Al2O3,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1044.46,798.2,64.153,,,AFLOW surrogate
aflow-0007,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",644.5,782.2,85.355,,,AFLOW surrogate
aflow-0008,material,TiN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1965.37,244.38,51.44,,,AFLOW surrogate
aflow-0009,material,SiC,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1202.49,826.91,4.175,,,AFLOW surrogate
aflow-0010,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1598.16,1170.32,44.696,,,AFLOW surrogate
aflow-0011,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1823.61,1030.54,51.201,,,AFLOW surrogate
aflow-0012,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1775.47,848.52,92.075,,,AFLOW surrogate
aflow-0013,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1248.87,869.48,32.694,,,AFLOW surrogate
aflow-0014,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1447.86,1038.03,79.706,,,AFLOW surrogate
aflow-0015,material,HfO2,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",714.95,228.2,31.355,,,AFLOW surrogate
aflow-0016,material,MgAl2O4,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1583.7,362.76,41.457,,,AFLOW surrogate
aflow-0017,material,BN,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",866.32,887.52,13.494,,,AFLOW surrogate
aflow-0018,material,Fe3Al,"AFLOW surrogate material record with crystal-structure and property metadata. Useful for conductivity, thermal stability, and band-gap screening.",1550.94,877.19,112.086,,,AFLOW surrogate
